CNA,OverallAverageScore,CurrentRank,CalculatedRank,Difference,TotalCVEs,RecentCVEs,Percentile
HCL,79.43,10,218,-208,53,53,97.0
cisa-cg,79.25,144,219,-75,20,20,52.5
ProgressSoftware,79.21,22,220,-198,19,19,93.0
rapid7,79.17,4,221,-217,18,18,99.0
NCSC.ch,79.17,52,222,-170,18,18,83.1
ENISA,79.17,140,223,-83,18,18,53.8
tenable,79.17,46,224,-178,18,18,85.0
Hitachi Energy,79.06,88,225,-137,16,16,71.1
WSO2,79.06,78,226,-148,16,16,74.4
cisco,78.98,184,227,-43,147,147,39.2
suse,78.5,197,228,-31,20,20,34.9
php,78.5,8,229,-221,10,10,97.7
Citrix,78.5,119,230,-111,10,10,60.8
Perforce,78.12,53,231,-178,8,8,82.7
Deltaww,78.0,138,232,-94,15,15,54.5
Rockwell,77.69,66,233,-167,26,26,78.4
Arista,77.69,29,234,-205,13,13,90.7
TQtC,77.5,142,235,-93,6,6,53.2
huawei,77.29,167,236,-69,83,83,44.9
flexera,77.0,281,237,44,5,5,7.0
PostgreSQL,75.0,60,238,-178,6,6,80.4
wolfSSL,75.0,124,239,-115,3,3,59.1
KNIME,75.0,62,240,-178,3,3,79.7
canonical,73.26,20,241,-221,23,23,93.7
Mandiant,72.5,31,242,-211,4,4,90.0
tibco,72.5,24,243,-219,4,4,92.4
ClickHouse,72.5,257,244,13,2,2,15.0
Payara,72.5,260,245,15,2,2,14.0
TV,72.5,214,246,-32,2,2,29.2
Joomla,71.36,154,247,-93,33,33,49.2
vmware,70.59,192,248,-56,51,51,36.5
CSA,70.0,202,249,-47,12,12,33.2
openssl,70.0,238,250,-12,3,3,21.3
Absolute,68.75,205,251,-46,8,8,32.2
wikimedia-foundation,68.6,110,252,-142,50,50,63.8
oracle,68.55,152,253,-101,234,234,49.8
symantec,68.46,150,254,-104,13,13,50.5
apache,67.66,9,255,-246,122,122,97.3
SEC-VLab,67.0,72,256,-184,15,15,76.4
CPANSec,66.67,17,257,-240,36,36,94.7
SamsungMobile,65.0,175,258,-83,128,128,42.2
MediaTek,65.0,185,259,-74,66,66,38.9
imaginationtech,65.0,163,260,-97,23,23,46.2
DEVOLUTIONS,65.0,28,261,-233,21,21,91.0
sonicwall,65.0,91,262,-171,12,12,70.1
Arm,65.0,246,263,-17,10,10,18.6
TECNOMobile,65.0,50,264,-214,7,7,83.7
Salesforce,65.0,215,265,-50,7,7,28.9
Octopus,65.0,243,266,-23,6,6,19.6
OpenVPN,65.0,76,267,-191,5,5,75.1
Unisoc,65.0,170,268,-98,5,5,43.9
KoreLogic,65.0,278,269,9,5,5,8.0
Omnissa,65.0,164,270,-106,4,4,45.8
naver,65.0,211,271,-60,3,3,30.2
Honor,65.0,64,272,-208,3,3,79.1
freebsd,65.0,244,273,-29,3,3,19.3
NEC,65.0,282,274,8,1,1,6.6
tlt_net,65.0,236,275,-39,1,1,21.9
hikvision,65.0,225,276,-51,1,1,25.6
Insyde,65.0,235,277,-42,1,1,22.3
hackerone,63.5,190,278,-88,40,40,37.2
drupal,63.21,108,279,-171,92,92,64.5
hpe,61.94,160,280,-120,49,49,47.2
atlassian,61.25,222,281,-59,4,4,26.6
Chrome,59.69,70,282,-212,65,65,77.1
glibc,57.5,233,283,-50,4,4,22.9
facebook,56.0,183,284,-101,5,5,39.5
mitre,55.7,1,285,-284,2466,2466,100.0
Go,51.0,221,286,-65,15,15,26.9
mozilla,50.63,35,287,-252,95,95,88.7
Linux,50.0,5,288,-283,2635,2635,98.7
WPScan,50.0,18,289,-271,465,465,94.4
apple,50.0,15,290,-275,360,360,95.3
jenkins,50.0,168,291,-123,62,62,44.5
google_android,50.0,284,292,-8,40,40,6.0
certcc,50.0,43,293,-250,16,16,86.0
ChromeOS,50.0,74,294,-220,12,12,75.7
Nokia,50.0,186,295,-109,11,11,38.5
Google_Devices,50.0,208,296,-88,10,10,31.2
debian,50.0,2,297,-295,8,8,99.7
curl,50.0,232,298,-66,6,6,23.3
XEN,50.0,209,299,-90,3,3,30.9
Opera,50.0,301,300,1,1,1,0.3
Replicated,50.0,300,301,-1,1,1,0.7
